GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ElasticSearch Java Utilities,com.wirktop.esutils.index,Indexer,35,335,7,19,7,81,7,34,1,27
ElasticSearch Java Utilities,com.wirktop.esutils.index,IndexBatch,0,59,0,4,0,18,0,7,0,5
ElasticSearch Java Utilities,com.wirktop.esutils.search,Search,31,240,1,13,5,50,6,27,5,21
ElasticSearch Java Utilities,com.wirktop.esutils.search,ScrollIterator,6,113,3,9,1,27,3,7,0,4
ElasticSearch Java Utilities,com.wirktop.esutils.search,Scroll,10,92,2,2,2,17,2,6,0,6
ElasticSearch Java Utilities,com.wirktop.esutils.search,SearchIterator,17,108,3,7,4,26,4,6,1,4
ElasticSearch Java Utilities,com.wirktop.esutils,Document,12,30,0,0,6,12,3,5,3,5
ElasticSearch Java Utilities,com.wirktop.esutils,AliasWrappedBucket,5,184,5,5,1,46,4,13,0,12
ElasticSearch Java Utilities,com.wirktop.esutils,DataBucket,0,40,0,4,0,14,0,7,0,5
ElasticSearch Java Utilities,com.wirktop.esutils,ElasticSearchClient,6,160,0,8,1,34,1,14,1,10
ElasticSearch Java Utilities,com.wirktop.esutils,SearchException,4,5,0,0,2,2,1,1,1,1
ElasticSearch Java Utilities,com.wirktop.esutils,Json,0,55,0,0,0,14,0,4,0,4
ElasticSearch Java Utilities,com.wirktop.esutils,Admin,57,420,6,20,7,142,6,26,0,19
